time;ms;channel;data
14:37:03;903;801502;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 13 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:03;904;801902;00 1D 20 29 0A 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:03;905;800802;00 1D 20 76 EF BF BD 20 20 00 00 20 20 CC A6 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:03;913;801102;00 1D 20 32 4A 20 20 00 00 20 20 32 75 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:03;953;801502;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 C7 A2 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:03;985;800802;00 1D 20 EF BF BD 15 20 20 00 00 20 20 08 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:03;987;801102;00 1D 20 EF BF BD 42 20 20 00 00 20 20 EF BF BD 16 20 20 55 20 20 20 20 20 20 20 20 20 20 20
14:37:03;995;801802;00 1D 20 1B EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 14 20 20 20 20 20 20 20 20 20
14:37:04;8;801502;00 1D 20 EF BF BD 44 20 20 00 00 20 20 46 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:04;8;800402;00 1D 20 3C EF BF BD 20 20 00 00 20 20 C2 87 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:04;96;801802;00 1D 20 31 7E 20 20 00 00 20 20 EF BF BD 1E 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:04;104;801502;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 5F EF BF BD 20 20 1E 20 20 20 20 20 20 20 20 20
14:37:04;110;801102;00 1D 20 EF BF BD 76 20 20 00 00 20 20 5B EF BF BD 20 20 06 20 20 20 20 20 20 20 20 20 20 20
14:37:04;110;800802;00 1D 20 EF BF BD 2C 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:04;111;800402;00 1D 20 EF BF BD 1C 20 20 00 00 20 20 EF BF BD 4B 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:04;161;801802;00 1D 20 5C EF BF BD 20 20 00 00 20 20 76 EF BF BD 20 20 36 20 20 20 20 20 20 20 20 20 20 20
14:37:04;180;801902;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 56 20 20 20 20 20 20 20
14:37:04;215;801102;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20
14:37:04;226;801802;00 1D 20 77 EF BF BD 20 20 00 00 20 20 45 1E 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:04;242;800402;00 1D 20 04 7B 20 20 00 00 20 20 56 69 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:04;377;800802;00 1D 20 EF BF BD 7D 20 20 00 00 20 20 16 EF BF BD 20 20 52 20 20 20 20 20 20 20 20 20 20 20
14:37:04;378;801902;00 1D 20 73 EF BF BD 20 20 00 00 20 20 EF BF BD 68 20 20 56 20 20 20 20 20 20 20 20 20 20 20
14:37:04;415;801102;00 1D 20 45 3C 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:04;440;800402;00 1D 20 EF BF BD 14 20 20 00 00 20 20 EF BF BD 5F 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:04;445;801502;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 34 54 20 20 4B 20 20 20 20 20 20 20 20 20 20 20
14:37:04;446;801902;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 28 44 20 20 14 20 20 20 20 20 20 20 20 20 20 20
14:37:04;534;801102;00 1D 20 EF BF BD 5F 20 20 00 00 20 20 2B EF BF BD 20 20 39 20 20 20 20 20 20 20 20 20 20 20
14:37:04;546;800402;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 DF B6 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:04;550;801902;00 1D 20 EF BF BD 2F 20 20 00 00 20 20 EF BF BD 5F 20 20 52 20 20 20 20 20 20 20 20 20 20 20
14:37:04;550;800802;00 1D 20 42 61 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:04;640;801802;00 1D 20 77 EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20
